player_id,first_name,last_name,position,team_id,status,total_points,current_value,selected_by_percent,news,photo,image_status
169,Denis,Franchi,1,6,a,0,40,0.2,,493347.jpg,Downloaded
170,Jóhann Berg,Gudmundsson,3,6,a,0,49,0.0,,60586.jpg,Downloaded
172,Arijanet,Muric,1,6,a,0,45,0.2,,232917.jpg,Downloaded
173,Dara,O'Shea,2,6,a,1,45,0.2,,216616.jpg,Downloaded
174,Michael,Obafemi,4,6,i,0,50,0.0,Hamstring injury - Unknown return date,220598.jpg,Downloaded
175,Bailey,Peacock-Farrell,1,6,u,0,40,0.0,Joined Aarhus on loan,220037.jpg,Downloaded
176,Connor,Roberts,2,6,a,1,45,0.3,,192290.jpg,Downloaded
177,Jay,Rodriguez,4,6,a,0,54,0.2,,44683.jpg,Downloaded
178,Charlie,Taylor,2,6,a,0,40,0.9,,103914.jpg,Downloaded
179,Bobby,Thomas,2,6,u,0,40,0.0,Permanent transfer to Coventry,461102.jpg,Downloaded
180,Scott,Twine,3,6,u,0,49,0.0,Season long loan to Hull,226473.jpg,Downloaded
181,Lawrence,Vigouroux,1,6,a,0,40,0.2,,133085.jpg,Downloaded
182,Victor,da Silva,2,6,a,1,45,0.2,,441455.jpg,Downloaded
183,Wout,Weghorst,4,6,u,0,55,0.1,On loan to Hoffenheim,120202.jpg,Downloaded
184,Anass,Zaroury,3,6,s,-2,49,0.1,Suspended until 18 Sep,511783.jpg,Downloaded
185,Ethan,Ampadu,2,7,u,0,40,0.0,Permanent transfer to Leeds Utd,199598.jpg,Downloaded
186,Andrey,Nascimento dos Santos,3,7,a,0,45,0.1,,532605.jpg,Downloaded
187,Kepa,Arrizabalaga,1,7,u,0,50,0.5,One year loan deal to Real Madrid,109745.jpg,Downloaded
188,Pierre-Emerick,Aubameyang,4,7,u,0,65,0.0,,54694.jpg,Downloaded
189,César,Azpilicueta,2,7,u,0,45,0.0,Left the club as a free agent,41328.jpg,Downloaded
190,Abdul Rahman,Baba,2,7,u,0,40,0.0,Permanent Transfer to PAOK,118335.jpg,Downloaded
191,Benoît,Badiashile,2,7,i,0,44,0.0,Hamstring injury - Unknown return date,242880.jpg,Downloaded
192,Marcus,Bettinelli,1,7,i,0,40,0.0,Unknown - Unknown return date,122074.jpg,Downloaded
193,Armando,Broja,4,7,i,0,50,0.0,Knee injury - Unknown return date,440323.jpg,Downloaded
194,Trevoh,Chalobah,2,7,i,0,44,0.1,Knock - Unknown return date,180736.jpg,Downloaded
195,Ben,Chilwell,2,7,a,8,57,25.7,,172850.jpg,Downloaded
196,Carney,Chukwuemeka,3,7,i,6,45,2.7,Knee injury - Unknown return date,478912.jpg,Downloaded
197,Levi,Colwill,2,7,a,3,45,3.9,,460028.jpg,Downloaded
198,Marc,Cucurella Saseta,2,7,a,0,50,0.5,,179268.jpg,Downloaded
199,Enzo,Fernández,3,7,a,1,50,4.6,,448047.jpg,Downloaded
200,David Datro,Fofana,4,7,u,0,50,0.0,Joined Union Berlin on a season-long loan - Expected back 01 Jul,520295.jpg,Downloaded
201,Wesley,Fofana,2,7,i,0,45,0.0,Knee injury - Unknown return date,444463.jpg,Downloaded
202,Conor,Gallagher,3,7,a,4,55,0.5,,232787.jpg,Downloaded
203,Malo,Gusto,2,7,a,2,40,3.1,,482609.jpg,Downloaded
204,Lewis,Hall,2,15,a,0,45,0.2,,487838.jpg,Downloaded
205,Callum,Hudson-Odoi,3,7,a,0,49,0.0,,209046.jpg,Downloaded
206,Reece,James,2,7,i,2,54,8.6,Hamstring injury - Expected back 17 Sep,225796.jpg,Downloaded
207,Romelu,Lukaku Bolingoli,4,7,a,0,69,0.6,,66749.jpg,Downloaded
208,Noni,Madueke,3,7,a,1,55,0.1,,248857.jpg,Downloaded
209,Mason,Mount,3,14,i,5,69,2.7,Knock - Expected back 16 Sep,184341.jpg,Downloaded
210,Mykhailo,Mudryk,3,7,a,2,64,2.1,,465920.jpg,Downloaded
211,Nicolas,Jackson,4,7,a,2,70,17.2,,517052.jpg,Downloaded
212,Christopher,Nkunku,4,7,i,0,74,0.8,Knee injury - Unknown return date,213198.jpg,Downloaded
213,Christian,Pulisic,3,7,u,0,55,0.0,Permanent transfer to AC Milan,176413.jpg,Downloaded
214,Malang,Sarr,2,7,a,0,45,0.1,,204727.jpg,Downloaded
215,Gabriel,Słonina,1,7,u,0,40,0.1,Season long loan to KAS Eupen,471798.jpg,Downloaded
216,Raheem,Sterling,3,7,a,4,70,2.5,,103955.jpg,Downloaded
217,Thiago,Emiliano da Silva,2,7,a,3,50,2.9,,51090.jpg,Downloaded
218,Hakim,Ziyech,3,7,u,0,54,0.2,Season long loan to Galatasaray,124183.jpg,Downloaded
219,Naouirou,Ahamada,3,8,a,1,45,0.2,,466117.jpg,Downloaded
220,Joachim,Andersen,2,8,a,11,45,2.9,,174874.jpg,Downloaded
221,Jordan,Ayew,3,8,a,7,55,0.4,,80146.jpg,Downloaded
222,Nathaniel,Clyne,2,8,a,0,45,0.1,,57328.jpg,Downloaded
223,Cheick,Doucouré,3,8,a,4,50,0.1,,438464.jpg,Downloaded
224,Malcolm,Ebiowei,3,8,i,0,45,0.0,Lack of match fitness - Expected back 03 Sep,450535.jpg,Downloaded
225,Odsonne,Edouard,4,8,a,9,55,2.1,,199670.jpg,Downloaded
